id,added_on_year,type,bedrooms,bathrooms,town,price
3805,2024,House,4,4.0,Katampe,570000000.0
3806,2024,Detached Bungalow,3,3.0,Galadimawa,100000000.0
3807,2024,Terraced Duplex,4,4.0,Jahi,360000000.0
3808,2024,Flat / Apartment,3,3.0,Gwarinpa,65000000.0
3809,2024,Terraced Duplex,5,5.0,Apo,300000000.0
3810,2024,Detached Duplex,4,4.0,Gwarinpa,200000000.0
3811,2024,Detached Duplex,4,4.0,Gwarinpa,200000000.0
3812,2024,Detached Duplex,4,4.0,Gwarinpa,250000000.0
3813,2024,Detached Duplex,7,7.0,Katampe,1300000000000.0
3814,2024,Terraced Duplex,4,4.0,Katampe,500000000.0
3815,2024,Detached Bungalow,4,4.0,Gwarinpa,200000000.0
3816,2024,Detached Duplex,7,7.0,Gwarinpa,450000000.0
3817,2024,Detached Bungalow,3,3.0,Gwarinpa,130000000.0
3818,2024,Terraced Duplex,4,4.0,Life Camp,850000000.0
3819,2024,Detached Duplex,4,4.0,Katampe,300000000.0
3820,2024,Terraced Duplex,5,5.0,Katampe,350000000.0
3821,2024,Flat / Apartment,3,3.0,Jahi,100000000.0
3822,2024,Terraced Duplex,5,5.0,Galadimawa,220000000.0
3823,2024,Terraced Duplex,4,4.0,Apo,350000000.0
3824,2024,Terraced Duplex,5,5.0,Wuye,350000000.0
3825,2024,Flat / Apartment,3,3.0,Jahi,130000000.0
3826,2024,Detached Duplex,5,6.0,Kaura,300000000.0
3827,2024,Detached Duplex,5,5.0,Katampe,1300000000.0
3828,2024,Terraced Duplex,4,4.0,Guzape District,190000000.0
3829,2024,Detached Duplex,7,8.0,Life Camp,400000000.0
3830,2024,Terraced Duplex,4,4.0,Gaduwa,150000000.0
3831,2024,Terraced Duplex,4,4.0,Jahi,230000000.0
3832,2024,Detached Duplex,4,5.0,Kado,580000000.0
3833,2024,Terraced Duplex,4,4.0,Jahi,250000000.0
3834,2024,Detached Duplex,5,5.0,Kukwaba,500000000.0
3835,2024,Detached Duplex,5,5.0,Asokoro District,850000000.0
3836,2024,House,3,3.0,Apo,65000000.0
3837,2024,Terraced Duplex,5,5.0,Durumi,180000000.0
3838,2024,Flat / Apartment,3,3.0,Katampe,120000000.0
3839,2024,House,4,4.0,Guzape District,280000000.0
3840,2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
3841,2024,Flat / Apartment,3,3.0,Life Camp,90000000.0
3842,2024,Terraced Duplex,4,4.0,Jahi,300000000.0
3843,2024,Detached Duplex,5,5.0,Kaura,110000000.0
3844,2024,Detached Bungalow,4,4.0,Gaduwa,160000000.0
3845,2024,Detached Duplex,5,5.0,Lokogoma District,280000000.0
3846,2024,Detached Duplex,4,4.0,Lokogoma District,80000000.0
3847,2024,Flat / Apartment,4,4.0,Katampe,130000000.0
3848,2024,Flat / Apartment,3,3.0,Katampe,180000000.0
3849,2024,Detached Duplex,6,6.0,Asokoro District,1300000000.0
3850,2024,Terraced Duplex,4,5.0,Apo,150000000.0
3851,2024,Terraced Duplex,4,4.0,Durumi,130000000.0
3852,2024,Terraced Duplex,4,4.0,Jahi,200000000.0
3853,2024,Detached Bungalow,3,3.0,Gwarinpa,170000000.0
3854,2024,Detached Duplex,6,6.0,Asokoro District,1000000000.0
3855,2024,Terraced Duplex,4,4.0,Asokoro District,245000000.0
3856,2024,Detached Duplex,5,5.0,Maitama District,2400000000.0
3857,2024,Terraced Duplex,3,3.0,Kyami,42000000.0
3858,2024,Detached Duplex,5,5.0,Lugbe District,250000000.0
3859,2024,Terraced Duplex,4,4.0,Jahi,190000000.0
3860,2024,Flat / Apartment,3,3.0,Asokoro District,150000000.0
3861,2024,Detached Duplex,7,7.0,Gwarinpa,500000000.0
3862,2024,Detached Bungalow,3,3.0,Idu Industrial,45000000.0
3863,2024,Flat / Apartment,3,4.0,Katampe,130000000.0
3864,2024,Terraced Duplex,4,5.0,Jahi,190000000.0
3865,2024,Terraced Duplex,4,5.0,Wuye,160000000.0
3866,2024,Detached Bungalow,3,3.0,Mbora (Nbora),130000000.0
3867,2024,Detached Duplex,7,8.0,Gwarinpa,750000000.0
3868,2024,Detached Duplex,4,5.0,Lokogoma District,270000000.0
3869,2024,Terraced Duplex,4,4.0,Katampe,450000000.0
3870,2024,Terraced Duplex,4,4.0,Lokogoma District,100000000.0
3871,2024,Detached Duplex,6,6.0,Katampe,170000000.0
3872,2024,Terraced Duplex,4,4.0,Lokogoma District,121621865.0
3873,2024,Detached Duplex,5,5.0,Wuye,700000000.0
3874,2024,Terraced Duplex,3,3.0,Lokogoma District,95772200.0
3875,2024,Detached Duplex,7,8.0,Gwarinpa,500000000.0
3876,2024,Terraced Duplex,3,3.0,Lokogoma District,95770220.0
3878,2024,Detached Duplex,5,6.0,Asokoro District,850000000.0
3879,2024,Flat / Apartment,2,2.0,Karmo,70000000.0
3880,2024,Terraced Duplex,4,4.0,Jahi,190000000.0
3881,2024,Terraced Duplex,4,4.0,Gwarinpa,160000000.0
3882,2024,Flat / Apartment,3,4.0,Wuye,100000000.0
3883,2024,House,4,4.0,Jahi,320000000.0
3884,2024,Flat / Apartment,2,3.0,Mabushi,80000000.0
3885,2024,Detached Duplex,7,7.0,Jabi,2000000000.0
3886,2024,Flat / Apartment,2,3.0,Idu Industrial,60000000.0
3887,2024,Terraced Duplex,4,4.0,Asokoro District,800000000.0
3888,2024,Terraced Duplex,4,4.0,Jahi,250000000.0
3889,2024,Terraced Duplex,4,5.0,Life Camp,190000000.0
3890,2024,Detached Duplex,7,7.0,Guzape District,2600000000.0
3892,2024,Flat / Apartment,3,3.0,Garki,135000000.0
3893,2024,Detached Duplex,4,4.0,Jahi,400000000.0
3894,2024,Terraced Duplex,4,4.0,Wuye,250000000.0
3895,2024,Terraced Duplex,5,5.0,Jahi,600000000.0
3896,2024,Terraced Duplex,5,5.0,Life Camp,260000000.0
3897,2024,Flat / Apartment,2,2.0,Karmo,60000000.0
3898,2024,Terraced Duplex,4,4.0,Mabushi,200000000.0
3899,2024,Detached Duplex,5,5.0,Asokoro District,220000000.0
3900,2024,Terraced Duplex,4,4.0,Jahi,150000000.0
3901,2024,Flat / Apartment,2,2.0,Lugbe District,65000000.0
3902,2024,Terraced Duplex,2,3.0,Kyami,50000000.0
3903,2024,Terraced Duplex,4,4.0,Gwarinpa,170000000.0
3904,2024,Detached Duplex,4,4.0,Utako,600000000.0
3905,2024,Terraced Duplex,4,4.0,Jahi,190000000.0
3906,2024,Detached Duplex,4,5.0,Utako,600000000.0
3907,2024,Detached Duplex,4,5.0,Karsana,100000000.0
3908,2024,Detached Duplex,7,8.0,Utako,600000000.0
3909,2024,Flat / Apartment,3,4.0,Gwarinpa,80000000.0
3910,2024,Terraced Duplex,5,5.0,Gwarinpa,280000000.0
3911,2024,Terraced Duplex,4,5.0,Life Camp,150000000.0
3912,2024,Terraced Duplex,4,5.0,Jahi,400000000.0
3913,2024,Detached Duplex,4,5.0,Wuye,500000000.0
3914,2024,Detached Bungalow,5,5.0,Lokogoma District,120000000.0
3915,2024,Detached Duplex,8,8.0,Asokoro District,2000000000.0
3916,2024,Detached Bungalow,6,6.0,Lokogoma District,120000000.0
3917,2024,Detached Duplex,7,7.0,Guzape District,750000000.0
3918,2024,Terraced Duplex,5,5.0,Durumi,250000000.0
3919,2024,Terraced Duplex,6,7.0,Wuye,195000000.0
3920,2024,Terraced Duplex,4,5.0,Asokoro District,220000000.0
3921,2024,Flat / Apartment,2,3.0,Lugbe District,80000000.0
3922,2024,Detached Duplex,5,5.0,Lugbe District,105000000.0
3923,2024,Terraced Duplex,4,5.0,Jahi,400000000.0
3924,2024,Terraced Duplex,3,3.0,Kyami,42000000.0
3925,2024,Flat / Apartment,3,3.0,Jahi,90000000.0
3926,2024,Terraced Duplex,4,5.0,Katampe,350000000.0
3927,2024,Detached Duplex,5,6.0,Asokoro District,1900000000.0
3928,2024,Terraced Duplex,4,4.0,Katampe,250000000.0
3929,2024,Terraced Duplex,4,5.0,Apo,85000000.0
3930,2024,Terraced Duplex,4,4.0,Mabushi,230000000.0
3931,2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
3933,2024,Detached Duplex,6,8.0,Guzape District,350000000.0
3934,2024,Terraced Duplex,4,4.0,Karsana,65000000.0
3935,2024,Detached Duplex,5,6.0,Gwarinpa,370000000.0
3936,2024,Detached Duplex,6,6.0,Karshi,190000000.0
3937,2024,Terraced Duplex,4,5.0,Guzape District,225000000.0
3938,2024,Detached Duplex,6,6.0,Gwarinpa,650000000.0
3939,2024,Flat / Apartment,2,2.0,Gwarinpa,80000000.0
3940,2024,Terraced Duplex,5,5.0,Life Camp,200000000.0
3941,2024,Detached Duplex,4,5.0,Karsana,80000000.0
3942,2024,Detached Duplex,7,9.0,Katampe,3000000000.0
3943,2024,Detached Duplex,8,8.0,Gwarinpa,650000000.0
3944,2024,Detached Duplex,5,5.0,Wuye,460000000.0
3945,2024,House,5,5.0,Wuye,700000000.0
3946,2024,Detached Duplex,5,5.0,Jahi,750000000.0
3947,2024,Detached Duplex,7,8.0,Katampe,3000000000.0
3948,2024,Detached Bungalow,3,4.0,Life Camp,130000000.0
3949,2024,Terraced Duplex,4,4.0,Mabushi,250000000.0
3950,2024,Detached Duplex,6,6.0,Katampe,450000000.0
3951,2024,Detached Duplex,5,5.0,Katampe,680000000.0
3952,2024,Terraced Duplex,4,4.0,Asokoro District,225000000.0
3953,2024,Flat / Apartment,2,3.0,Gwarinpa,33000000.0
3954,2024,Detached Duplex,7,8.0,Gwarinpa,400000000.0
3955,2024,Detached Duplex,5,5.0,Lugbe District,150000000.0
3956,2024,Detached Duplex,6,6.0,Guzape District,900000000.0
3957,2024,Detached Duplex,7,7.0,Maitama District,2500000000.0
3958,2024,Detached Duplex,7,7.0,Asokoro District,4500000000.0
3959,2024,Detached Duplex,7,7.0,Guzape District,1800000000.0
3960,2024,Detached Duplex,5,5.0,Jahi,750000000.0
3961,2024,Flat / Apartment,3,4.0,Jahi,132000000.0
3962,2024,Terraced Duplex,5,5.0,Karmo,4000000000.0
3963,2024,Terraced Duplex,4,5.0,Maitama District,780000000.0
