id,added_on_year,type,bedrooms,bathrooms,toilets,parking_spaces,town,state,price
343,2025,Detached Duplex,6,7,7,6,Katampe,Abuja,"₦1,200,000,000"
344,2025,Terraced Duplex,4,Unknown,5,Unknown,Life Camp,Abuja,"₦170,000,000"
345,2025,Terraced Duplex,4,4,5,5,Guzape District,Abuja,"₦280,000,000"
346,2025,Detached Duplex,6,6,6,4,Apo,Abuja,"₦580,000,000"
347,2025,Flat / Apartment,3,3,4,2,Katampe,Abuja,"₦115,000,000"
348,2025,Flat / Apartment,3,Unknown,4,Unknown,Apo,Abuja,"₦70,000,000"
349,2025,Terraced Duplex,4,4,5,2,Jahi,Abuja,"₦370,000,000"
350,2025,Flat / Apartment,2,2,3,Unknown,Asokoro District,Abuja,"₦130,000,000"
351,2024,Terraced Duplex,4,4,5,4,Asokoro District,Abuja,"₦150,000,000"
352,2024,Flat / Apartment,1,1,2,Unknown,Durumi,Abuja,"₦65,000,000"
353,2024,Detached Duplex,6,6,7,3,Asokoro District,Abuja,No price available
354,2024,Detached Duplex,5,5,6,Unknown,Kubwa,Abuja,"₦250,000,000"
355,2025,Terraced Duplex,4,4,5,Unknown,Jahi,Abuja,"₦300,000,000"
356,2024,Flat / Apartment,8,16,24,Unknown,Kubwa,Abuja,"₦350,000,000"
357,2025,Terraced Duplex,3,3,4,Unknown,Gwarinpa,Abuja,"₦140,000,000"
358,2025,Terraced Duplex,4,4,5,2,Jahi,Abuja,"₦300,000,000"
359,2025,Detached Duplex,4,6,7,Unknown,Katampe,Abuja,"₦550,000,000"
360,2025,Terraced Duplex,4,4,5,Unknown,Jahi,Abuja,"₦210,000,000"
361,2025,Detached Duplex,8,8,9,8,Guzape District,Abuja,"₦1,800,000,000"
362,2025,Detached Duplex,5,5,6,Unknown,Kado,Abuja,"₦399,999,999"
363,2025,Terraced Duplex,4,4,5,Unknown,Jahi,Abuja,"₦300,000,000"
364,2025,Detached Duplex,6,6,7,3,Katampe,Abuja,"₦650,000,000"
365,2024,Detached Duplex,5,6,6,3,Katampe,Abuja,"₦550,000,000"
366,2025,Terraced Duplex,3,3,4,Unknown,Galadimawa,Abuja,"₦90,000,000"
367,2024,Flat / Apartment,3,3,4,2,Katampe,Abuja,"₦120,000,000"
368,2025,Flat / Apartment,3,4,4,Unknown,Gwarinpa,Abuja,"₦90,000,000"
369,2025,Terraced Duplex,4,4,5,Unknown,Kado,Abuja,"₦190,000,000"
370,2025,Flat / Apartment,3,3,4,2,Jahi,Abuja,"₦100,000,000"
371,2024,Detached Duplex,4,4,5,Unknown,Karsana,Abuja,"₦125,000,000"
372,2024,Terraced Duplex,5,5,6,Unknown,Jahi,Abuja,"₦300,000,000"
373,2024,Flat / Apartment,3,3,4,Unknown,Life Camp,Abuja,"₦90,000,000"
374,2024,Detached Duplex,6,6,7,Unknown,Guzape District,Abuja,"₦1,000,000,000"
375,2025,Terraced Duplex,4,4,5,Unknown,Life Camp,Abuja,"₦135,000,000"
376,2025,Terraced Duplex,4,4,5,3,Kado,Abuja,"₦190,000,000"
377,2024,Terraced Duplex,4,4,5,4,Guzape District,Abuja,"₦280,000,000"
378,2023,Detached Duplex,7,8,8,10,Guzape District,Abuja,"₦800,000,000"
379,2023,Terraced Duplex,6,6,7,9,Guzape District,Abuja,"₦650,000,000"
380,2025,Terraced Duplex,4,4,5,3,Jahi,Abuja,"₦400,000,000"
381,2025,Terraced Duplex,3,3,3,4,Apo,Abuja,"₦90,000,000"
382,2025,Terraced Duplex,3,4,4,Unknown,Jabi,Abuja,"₦125,000,000"
383,2025,Terraced Duplex,4,Unknown,5,3,Mabushi,Abuja,"₦270,000,000"
384,2024,Detached Duplex,5,6,5,8,Garki,Abuja,"₦825,000,000"
385,2024,Detached Duplex,6,6,7,3,Asokoro District,Abuja,No price available
386,2025,House,5,5,6,20,Asokoro District,Abuja,"₦2,500,000,000"
